Paper Publish Year,DOI,Category (Carbohydrate Mimetic),Mimic of which Carbohydrate,Name of the Carbohydrate Mimetic,Functions,Activity
2019,https://doi.org/10.3390/molecules24061004,Fucose-containing glycans,Fucosylated glycan structures,Rivipansel (GMI-1070),Acts as a glycomimetic inhibitor to block selectin-mediated cell adhesion,Reduces inflammation and improves outcomes in conditions like sickle cell disease.
2020,https://doi.org/10.1002/med.21625,Neisseria meningitides serogroup A capsular polysaccharide,"Manα(1,2)Man",Carbocyclic analogue (27),Designed to mimic the minimal natural epitope of dendritic cell-specific intercellular adhesion molecule-3-grabbing nonintegrin (DC-SIGN).,"Binds to pathogens such as HIV, Ebola, and Dengue viruses by recognizing glycosylated structures on their surfaces"
2020,https://doi.org/10.1002/med.21625,High-mannose glycan,"Manα(1,2)Man",Mannose-based glycomimetic antagonist (28),Mimics the natural epitope and improves metabolic stability.,Binds to DC-SIGN with low millimolar affinity​
2020,https://doi.org/10.1002/med.21625,High-mannose glycan,"Manα(1,2)Man",Carbamannose-based pseudodisaccharide (29),Similar to mannose-based glycomimetic antagonist (28) with enhanced affinity.,Binds to DC-SIGN with low millimolar affinity
2020,https://doi.org/10.1002/med.21625,High-mannose glycan,"Manα(1,2)Man",6-Amino derivative of pseudodisaccharide (32),Designed to selectively bind to DC-SIGN and not to Langerin.,Binds selectively to DC-SIGN and impairs binding to Langerin due to electrostatic repulsion​
2020,https://doi.org/10.1002/med.21625,Galactose,Galactose,Bicyclo[4.1.0]heptyl analogue (38),Mechanism-based covalent inhibitor of glycoside hydrolases.,Inactivates α-galactosidase by covalent binding at the enzyme's active site​
2020,https://doi.org/10.1002/med.21625,Galactose,Galactose,Fluorocarbasugar (39),Improved leaving-group ability and slowed hydrolysis of the covalent intermediate.,Inactivates α-galactosidase by covalent binding at the enzyme's active site​
2020,https://doi.org/10.1002/med.21625,Cyclophellitol,Cyclophellitol,Cyclopropyl analogue of cyclophellitol (45-47),Mechanism-based covalent inhibitors of glycoside hydrolases.,Inactivates glycoside hydrolases by covalent binding at the enzyme's active site
2020,https://doi.org/10.1002/ejoc.202001389,Azidopyran,3-Azidopyran,"Trivalent 1,2,3-Triazole-Linked Carbohydrate Mimetics (6-8)","Serve as multivalent ligands for biological targets, enhancing effects compared to monovalent ligands.","Used for their potential as L- and P-selectin ligands, showing promise in preliminary evaluations"
2020,https://doi.org/10.1002/ejoc.202001389,Azidopyran,3-Azidopyran,Unsymmetrical Trivalent Carbohydrate Mimetic (12),"Multivalent interaction with biological targets, potentially more effective due to asymmetry.","Evaluated as L- and P-selectin ligands, successfully O-sulfated to enhance activity​"
2020,https://doi.org/10.1002/ejoc.202001389,Azidopyran,3-Azidopyran,"Tetravalent 1,2,3-Triazole-Linked Carbohydrate Mimetic (16)",Multivalent ligands for enhancing biological interactions.,"Synthesized for evaluation as a ligand for selectins, showing good yield and potential"
2020,https://doi.org/10.1002/ejoc.202001389,Azidopyran,3-Azidopyran,"Hexavalent 1,2,3-Triazole-Linked Carbohydrate Mimetic (17)",Designed to enhance multivalent biological interactions.,"Evaluated as a selectin ligand, showing good reactivity and yield​"
2020,https://doi.org/10.1002/ejoc.202001389,Azidopyran,3-Azidopyran,"Octavalent 1,2,3-Triazole-Linked Carbohydrate Mimetic (18)","Provides multiple binding sites for biological targets, enhancing effectiveness.","Synthesized with good yield, evaluated for potential selectin binding​"
2020,https://doi.org/10.1002/ejoc.202001389,Azidopyran,3-Azidopyran,Dodecavalent C60-Fullerene Derived Carbohydrate Mimetic (22),Provides extensive multivalent interaction potential with biological targets.,"Preliminary SPR measurements indicate promising ligand activity for L- and P-selectins with low nanomolar IC50 values, successfully O-sulfated for enhanced activity​."
2022,https://doi.org/10.1039/D2CS00470D,Carbohydrate Mimetic Peptides (CMPs),Glycan,Glycan-mimetic peptide mimotopes,The regulation of glycan (carbohydrate)–protein interactions is needed to develop therapeutic strategies for glycan-related diseases,"modulate immune responses or inhibit glycan–protein interactions, serving as high-affinity ligands for lectins, inducing anti-glycan antibodies, or acting as vaccine candidates against pathogens and tumors"
2022,https://doi.org/10.1016/j.carres.2022.108697,synthetic polysaccharide mimetics,"Glycolipid biosurfactants (C14,C16,C18 terminal chain lengths)",Enantiopure poly-amido-saccharides (PASs),"These amphiphilic polymers are water soluble, adopt a helical secondary structure, decompose at temperatures greater than 240 °C, are non-cytotoxic, and self-assemble into nanostructures.","binding to carbohydrate-recognizing proteins (like lectins) and can act as highly effective protein stabilizers, offering enhanced stability and precise structural control compared to natural polysaccharides"
2023,https://doi.org/10.3390/molecules28072884,Tetrahydrofuran-containing acetogenins (THF-ACGs),Mannose,THF-ACG Mimetic 2,"Aimed at mimicking the structure of naturally occurring ACGs with the potential to disrupt mitochondrial ATP production, particularly in cancer cells.",Showed cytotoxicity in the low-to-submicromolar range against prostate cancer cell lines (PC-3 and LNCaP). Greater selectivity and potency were observed against PSMA receptor-positive LNCaP cells compared to receptor-negative PC-3 cells​
2023,https://doi.org/10.3390/molecules28072885,Tetrahydrofuran-containing acetogenins (THF-ACGs),Mannose,THF-ACG Mimetic 4,"Similar to Mimetic 2, designed to replace the more complex segments of naturally occurring ACGs with simpler, accessible substitutes.","Exhibited similar cytotoxicity profiles as Mimetic 2, with low-to-submicromolar cytotoxicity against PC-3 and LNCaP cells. More selective for LNCaP cells over PC-3, indicating potential for targeting prostate cancer cells with PSMA expression​"
2023,https://doi.org/10.1039/D2CS00954D,iminosugars,"biologically active carbohydrates uch as sialic acid, glucose, maltose, and other glycan epitopes-examples include oseltamivir (Tamiflu) ",Glycomimetic,Inhibition and modulation of lectins,"inhibit carbohydrate-processing enzymes or block lectin-mediated interactions, thereby modulating biological processes like viral infection, cancer metastasis"
